DATE,BOROUGH,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,SCHOOLORGANICTONS,LEAVESORGANICTONS,XMASTREETONS
1991 / 10,Brooklyn,78479.8,0.0,0.0,0.0,0.0,0.0,0.0
1991 / 10,Manhattan,46335.7,0.0,0.0,0.0,0.0,0.0,0.0
1991 / 10,Queens,68175.6,0.0,0.0,0.0,0.0,0.0,0.0
1991 / 10,Staten Island,14847.8,0.0,0.0,0.0,0.0,0.0,0.0
1991 / 11,Bronx,39213.0,0.0,0.0,0.0,0.0,0.0,0.0
1991 / 11,Brooklyn,74778.9,0.0,0.0,0.0,0.0,0.0,0.0
1991 / 11,Manhattan,44722.9,0.0,0.0,0.0,0.0,0.0,0.0
1991 / 11,Queens,68867.7,0.0,0.0,0.0,0.0,0.0,0.0
1991 / 11,Staten Island,13241.3,0.0,0.0,0.0,0.0,0.0,0.0
1991 / 12,Bronx,40642.7,0.0,0.0,0.0,0.0,0.0,0.0
1991 / 12,Brooklyn,74840.8,0.0,0.0,0.0,0.0,0.0,0.0
1991 / 12,Manhattan,46044.1,0.0,0.0,0.0,0.0,0.0,0.0
1991 / 12,Queens,63244.4,0.0,0.0,0.0,0.0,0.0,0.0
1991 / 12,Staten Island,13576.1,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 01,Bronx,42042.7,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 01,Brooklyn,71870.0,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 01,Manhattan,44808.9,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 01,Queens,59120.9,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 01,Staten Island,12628.6,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 02,Bronx,38024.2,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 02,Brooklyn,67946.1,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 02,Manhattan,40517.5,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 02,Queens,53051.7,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 02,Staten Island,11166.5,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 03,Bronx,38441.4,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 03,Brooklyn,78594.3,0.0,0.0,0.0,0.0,0.0,0.0
