DATE,BOROUGH,POPULATION,POPULATION PERCENTAGE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN,TSUN
1991 / 06,Bronx,1203789,16.44,,105.7,0,23.37,29.12,17.61,18168
1991 / 07,Bronx,1203789,16.44,,116.1,0,25.39,30.63,20.15,15810
1991 / 08,Bronx,1203789,16.44,,181.3,0,25.05,30,20.1,17671
1991 / 09,Bronx,1203789,16.44,,94.2,0,19.69,24.66,14.72,16300
1991 / 10,Bronx,1203789,16.44,,54.1,0,14.67,19.38,9.96,12435
1991 / 11,Bronx,1203789,16.44,,49.8,0,9.05,12.85,5.24,7090
1991 / 12,Bronx,1203789,16.44,,108.2,18,4.2,7.94,0.47,8739
1991 / 01,Brooklyn,2300664,31.42,,85.8,214,1.59,5.12,-1.94,10885
1991 / 02,Brooklyn,2300664,31.42,,49.1,231,4.41,8.65,0.17,10289
1991 / 03,Brooklyn,2300664,31.42,,131,5,7,11.16,2.85,11233
1991 / 04,Brooklyn,2300664,31.42,,93.5,0,13.15,18.02,8.27,12049
1991 / 05,Brooklyn,2300664,31.42,,79.1,0,20.38,26.06,14.7,19145
1991 / 06,Brooklyn,2300664,31.42,,105.7,0,23.37,29.12,17.61,18168
1991 / 07,Brooklyn,2300664,31.42,,116.1,0,25.39,30.63,20.15,15810
1991 / 08,Brooklyn,2300664,31.42,,181.3,0,25.05,30,20.1,17671
1991 / 09,Brooklyn,2300664,31.42,,94.2,0,19.69,24.66,14.72,16300
1991 / 10,Brooklyn,2300664,31.42,,54.1,0,14.67,19.38,9.96,12435
1991 / 11,Brooklyn,2300664,31.42,,49.8,0,9.05,12.85,5.24,7090
1991 / 12,Brooklyn,2300664,31.42,,108.2,18,4.2,7.94,0.47,8739
1991 / 01,Manhattan,1487536,20.31,,85.8,214,1.59,5.12,-1.94,10885
1991 / 02,Manhattan,1487536,20.31,,49.1,231,4.41,8.65,0.17,10289
1991 / 03,Manhattan,1487536,20.31,,131,5,7,11.16,2.85,11233
1991 / 04,Manhattan,1487536,20.31,,93.5,0,13.15,18.02,8.27,12049
1991 / 05,Manhattan,1487536,20.31,,79.1,0,20.38,26.06,14.7,19145
1991 / 06,Manhattan,1487536,20.31,,105.7,0,23.37,29.12,17.61,18168
1991 / 07,Manhattan,1487536,20.31,,116.1,0,25.39,30.63,20.15,15810
1991 / 08,Manhattan,1487536,20.31,,181.3,0,25.05,30,20.1,17671
1991 / 09,Manhattan,1487536,20.31,,94.2,0,19.69,24.66,14.72,16300
