DATE,BOROUGH,POPULATION,POPULATION PERCENTAGE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN,TSUN
1995 / 08,Brooklyn,2300664,31.42,,4.6,0,25.86,30.77,20.95,20815
1995 / 09,Brooklyn,2300664,31.42,,77.1,0,20.14,24.78,15.5,12999
1995 / 10,Brooklyn,2300664,31.42,,198.5,0,16.45,21.13,11.78,
1995 / 11,Brooklyn,2300664,31.42,3.3,146.9,74,6.44,10.06,2.82,
1995 / 12,Brooklyn,2300664,31.42,3.7,53.9,293,0.22,3.31,-2.88,
1995 / 01,Manhattan,1487536,20.31,,95.4,5,3.07,6.19,-0.05,8194
1995 / 02,Manhattan,1487536,20.31,,79.5,295,-0.24,3.79,-4.28,10605
1995 / 03,Manhattan,1487536,20.31,,31.9,0,7.21,11.63,2.79,12736
1995 / 04,Manhattan,1487536,20.31,,58.2,0,11.06,16.33,5.79,15725
1995 / 05,Manhattan,1487536,20.31,,72.2,0,16.6,21.16,12.04,12526
1995 / 06,Manhattan,1487536,20.31,,53.2,0,22.12,26.85,17.39,13686
1995 / 07,Manhattan,1487536,20.31,,155.7,0,26.19,30.56,21.82,16034
1995 / 08,Manhattan,1487536,20.31,,4.6,0,25.86,30.77,20.95,20815
1995 / 09,Manhattan,1487536,20.31,,77.1,0,20.14,24.78,15.5,12999
1995 / 10,Manhattan,1487536,20.31,,198.5,0,16.45,21.13,11.78,
1995 / 11,Manhattan,1487536,20.31,3.3,146.9,74,6.44,10.06,2.82,
1995 / 12,Manhattan,1487536,20.31,3.7,53.9,293,0.22,3.31,-2.88,
1995 / 01,Queens,1951598,26.65,,95.4,5,3.07,6.19,-0.05,8194
1995 / 02,Queens,1951598,26.65,,79.5,295,-0.24,3.79,-4.28,10605
1995 / 03,Queens,1951598,26.65,,31.9,0,7.21,11.63,2.79,12736
1995 / 04,Queens,1951598,26.65,,58.2,0,11.06,16.33,5.79,15725
1995 / 05,Queens,1951598,26.65,,72.2,0,16.6,21.16,12.04,12526
1995 / 06,Queens,1951598,26.65,,53.2,0,22.12,26.85,17.39,13686
1995 / 07,Queens,1951598,26.65,,155.7,0,26.19,30.56,21.82,16034
1995 / 08,Queens,1951598,26.65,,4.6,0,25.86,30.77,20.95,20815
1995 / 09,Queens,1951598,26.65,,77.1,0,20.14,24.78,15.5,12999
1995 / 10,Queens,1951598,26.65,,198.5,0,16.45,21.13,11.78,
1995 / 11,Queens,1951598,26.65,3.3,146.9,74,6.44,10.06,2.82,
1995 / 12,Queens,1951598,26.65,3.7,53.9,293,0.22,3.31,-2.88,
1995 / 01,Staten Island,378977,5.18,,95.4,5,3.07,6.19,-0.05,8194
1995 / 02,Staten Island,378977,5.18,,79.5,295,-0.24,3.79,-4.28,10605
1995 / 03,Staten Island,378977,5.18,,31.9,0,7.21,11.63,2.79,12736
1995 / 04,Staten Island,378977,5.18,,58.2,0,11.06,16.33,5.79,15725
1995 / 05,Staten Island,378977,5.18,,72.2,0,16.6,21.16,12.04,12526
1995 / 06,Staten Island,378977,5.18,,53.2,0,22.12,26.85,17.39,13686
1995 / 07,Staten Island,378977,5.18,,155.7,0,26.19,30.56,21.82,16034
1995 / 08,Staten Island,378977,5.18,,4.6,0,25.86,30.77,20.95,20815
1995 / 09,Staten Island,378977,5.18,,77.1,0,20.14,24.78,15.5,12999
1995 / 10,Staten Island,378977,5.18,,198.5,0,16.45,21.13,11.78,
1995 / 11,Staten Island,378977,5.18,3.3,146.9,74,6.44,10.06,2.82,
1995 / 12,Staten Island,378977,5.18,3.7,53.9,293,0.22,3.31,-2.88,
1996 / 01,Bronx,1203789,16.44,4,143.3,663,-0.83,2.76,-4.42,
1996 / 02,Bronx,1203789,16.44,3.9,65.7,537,1.03,4.6,-2.55,
1996 / 03,Bronx,1203789,16.44,3.6,97,336,3.84,7.91,-0.23,
1996 / 04,Bronx,1203789,16.44,4,160.7,18,11.24,15.58,6.89,
1996 / 05,Bronx,1203789,16.44,2.8,67.2,0,16.16,20.82,11.49,
1996 / 06,Bronx,1203789,16.44,2.5,145.3,0,21.89,25.75,18.02,
1996 / 07,Bronx,1203789,16.44,2.5,146.4,0,22.95,26.54,19.37,
1996 / 08,Bronx,1203789,16.44,2,47.6,0,23.58,27.41,19.75,
1996 / 09,Bronx,1203789,16.44,2.4,126.3,0,19.99,23.48,16.49,
1996 / 10,Bronx,1203789,16.44,2.9,191,0,13.54,17.39,9.69,
1996 / 11,Bronx,1203789,16.44,3,72.9,3,6.09,9.37,2.8,
1996 / 12,Bronx,1203789,16.44,3.5,164.7,0,5.15,8.13,2.17,
1996 / 01,Brooklyn,2300664,31.42,4,143.3,663,-0.83,2.76,-4.42,
1996 / 02,Brooklyn,2300664,31.42,3.9,65.7,537,1.03,4.6,-2.55,
1996 / 03,Brooklyn,2300664,31.42,3.6,97,336,3.84,7.91,-0.23,
1996 / 04,Brooklyn,2300664,31.42,4,160.7,18,11.24,15.58,6.89,
1996 / 05,Brooklyn,2300664,31.42,2.8,67.2,0,16.16,20.82,11.49,
1996 / 06,Brooklyn,2300664,31.42,2.5,145.3,0,21.89,25.75,18.02,
1996 / 07,Brooklyn,2300664,31.42,2.5,146.4,0,22.95,26.54,19.37,
1996 / 08,Brooklyn,2300664,31.42,2,47.6,0,23.58,27.41,19.75,
1996 / 09,Brooklyn,2300664,31.42,2.4,126.3,0,19.99,23.48,16.49,
1996 / 10,Brooklyn,2300664,31.42,2.9,191,0,13.54,17.39,9.69,
1996 / 11,Brooklyn,2300664,31.42,3,72.9,3,6.09,9.37,2.8,
1996 / 12,Brooklyn,2300664,31.42,3.5,164.7,0,5.15,8.13,2.17,
1996 / 01,Manhattan,1487536,20.31,4,143.3,663,-0.83,2.76,-4.42,
1996 / 02,Manhattan,1487536,20.31,3.9,65.7,537,1.03,4.6,-2.55,
1996 / 03,Manhattan,1487536,20.31,3.6,97,336,3.84,7.91,-0.23,
1996 / 04,Manhattan,1487536,20.31,4,160.7,18,11.24,15.58,6.89,
1996 / 05,Manhattan,1487536,20.31,2.8,67.2,0,16.16,20.82,11.49,
1996 / 06,Manhattan,1487536,20.31,2.5,145.3,0,21.89,25.75,18.02,
1996 / 07,Manhattan,1487536,20.31,2.5,146.4,0,22.95,26.54,19.37,
1996 / 08,Manhattan,1487536,20.31,2,47.6,0,23.58,27.41,19.75,
1996 / 09,Manhattan,1487536,20.31,2.4,126.3,0,19.99,23.48,16.49,
1996 / 10,Manhattan,1487536,20.31,2.9,191,0,13.54,17.39,9.69,
1996 / 11,Manhattan,1487536,20.31,3,72.9,3,6.09,9.37,2.8,
1996 / 12,Manhattan,1487536,20.31,3.5,164.7,0,5.15,8.13,2.17,
1996 / 01,Queens,1951598,26.65,4,143.3,663,-0.83,2.76,-4.42,
1996 / 02,Queens,1951598,26.65,3.9,65.7,537,1.03,4.6,-2.55,
1996 / 03,Queens,1951598,26.65,3.6,97,336,3.84,7.91,-0.23,
1996 / 04,Queens,1951598,26.65,4,160.7,18,11.24,15.58,6.89,
1996 / 05,Queens,1951598,26.65,2.8,67.2,0,16.16,20.82,11.49,
1996 / 06,Queens,1951598,26.65,2.5,145.3,0,21.89,25.75,18.02,
1996 / 07,Queens,1951598,26.65,2.5,146.4,0,22.95,26.54,19.37,
1996 / 08,Queens,1951598,26.65,2,47.6,0,23.58,27.41,19.75,
1996 / 09,Queens,1951598,26.65,2.4,126.3,0,19.99,23.48,16.49,
1996 / 10,Queens,1951598,26.65,2.9,191,0,13.54,17.39,9.69,
1996 / 11,Queens,1951598,26.65,3,72.9,3,6.09,9.37,2.8,
1996 / 12,Queens,1951598,26.65,3.5,164.7,0,5.15,8.13,2.17,
1996 / 01,Staten Island,378977,5.18,4,143.3,663,-0.83,2.76,-4.42,
1996 / 02,Staten Island,378977,5.18,3.9,65.7,537,1.03,4.6,-2.55,
1996 / 03,Staten Island,378977,5.18,3.6,97,336,3.84,7.91,-0.23,
1996 / 04,Staten Island,378977,5.18,4,160.7,18,11.24,15.58,6.89,
1996 / 05,Staten Island,378977,5.18,2.8,67.2,0,16.16,20.82,11.49,
1996 / 06,Staten Island,378977,5.18,2.5,145.3,0,21.89,25.75,18.02,
1996 / 07,Staten Island,378977,5.18,2.5,146.4,0,22.95,26.54,19.37,
1996 / 08,Staten Island,378977,5.18,2,47.6,0,23.58,27.41,19.75,
1996 / 09,Staten Island,378977,5.18,2.4,126.3,0,19.99,23.48,16.49,
1996 / 10,Staten Island,378977,5.18,2.9,191,0,13.54,17.39,9.69,
1996 / 11,Staten Island,378977,5.18,3,72.9,3,6.09,9.37,2.8,
1996 / 12,Staten Island,378977,5.18,3.5,164.7,0,5.15,8.13,2.17,
1997 / 01,Bronx,1203789,16.44,4,92.8,112,0.08,4,-3.84,
1997 / 02,Bronx,1203789,16.44,3.7,64.8,96,4.44,8.44,0.45,
1997 / 03,Bronx,1203789,16.44,4,131.9,43,5.48,9.53,1.42,
1997 / 04,Bronx,1203789,16.44,3.6,72.9,0,10.93,15.62,6.24,
1997 / 05,Bronx,1203789,16.44,3.3,77.6,0,15.19,19.96,10.42,
1997 / 06,Bronx,1203789,16.44,2.7,49,0,21.6,26.17,17.04,
1997 / 07,Bronx,1203789,16.44,2.5,212.4,0,24.28,29.03,19.53,
1997 / 08,Bronx,1203789,16.44,2.2,81.5,0,22.95,27.05,18.84,
1997 / 09,Bronx,1203789,16.44,2.7,53.5,0,19.42,23.6,15.23,
1997 / 10,Bronx,1203789,16.44,2.6,53.3,0,13.74,17.57,9.91,
1997 / 11,Bronx,1203789,16.44,3.5,119.1,0,6.93,9.87,3.99,
1997 / 12,Bronx,1203789,16.44,2.8,108.6,0,3.46,6.36,0.56,
1997 / 01,Brooklyn,2300664,31.42,4,92.8,112,0.08,4,-3.84,
1997 / 02,Brooklyn,2300664,31.42,3.7,64.8,96,4.44,8.44,0.45,
1997 / 03,Brooklyn,2300664,31.42,4,131.9,43,5.48,9.53,1.42,
1997 / 04,Brooklyn,2300664,31.42,3.6,72.9,0,10.93,15.62,6.24,
1997 / 05,Brooklyn,2300664,31.42,3.3,77.6,0,15.19,19.96,10.42,
1997 / 06,Brooklyn,2300664,31.42,2.7,49,0,21.6,26.17,17.04,
1997 / 07,Brooklyn,2300664,31.42,2.5,212.4,0,24.28,29.03,19.53,
1997 / 08,Brooklyn,2300664,31.42,2.2,81.5,0,22.95,27.05,18.84,
1997 / 09,Brooklyn,2300664,31.42,2.7,53.5,0,19.42,23.6,15.23,
1997 / 10,Brooklyn,2300664,31.42,2.6,53.3,0,13.74,17.57,9.91,
1997 / 11,Brooklyn,2300664,31.42,3.5,119.1,0,6.93,9.87,3.99,
1997 / 12,Brooklyn,2300664,31.42,2.8,108.6,0,3.46,6.36,0.56,
1997 / 01,Manhattan,1487536,20.31,4,92.8,112,0.08,4,-3.84,
1997 / 02,Manhattan,1487536,20.31,3.7,64.8,96,4.44,8.44,0.45,
1997 / 03,Manhattan,1487536,20.31,4,131.9,43,5.48,9.53,1.42,
1997 / 04,Manhattan,1487536,20.31,3.6,72.9,0,10.93,15.62,6.24,
1997 / 05,Manhattan,1487536,20.31,3.3,77.6,0,15.19,19.96,10.42,
1997 / 06,Manhattan,1487536,20.31,2.7,49,0,21.6,26.17,17.04,
1997 / 07,Manhattan,1487536,20.31,2.5,212.4,0,24.28,29.03,19.53,
1997 / 08,Manhattan,1487536,20.31,2.2,81.5,0,22.95,27.05,18.84,
1997 / 09,Manhattan,1487536,20.31,2.7,53.5,0,19.42,23.6,15.23,
1997 / 10,Manhattan,1487536,20.31,2.6,53.3,0,13.74,17.57,9.91,
1997 / 11,Manhattan,1487536,20.31,3.5,119.1,0,6.93,9.87,3.99,
1997 / 12,Manhattan,1487536,20.31,2.8,108.6,0,3.46,6.36,0.56,
1997 / 01,Queens,1951598,26.65,4,92.8,112,0.08,4,-3.84,
1997 / 02,Queens,1951598,26.65,3.7,64.8,96,4.44,8.44,0.45,
1997 / 03,Queens,1951598,26.65,4,131.9,43,5.48,9.53,1.42,
1997 / 04,Queens,1951598,26.65,3.6,72.9,0,10.93,15.62,6.24,
1997 / 05,Queens,1951598,26.65,3.3,77.6,0,15.19,19.96,10.42,
1997 / 06,Queens,1951598,26.65,2.7,49,0,21.6,26.17,17.04,
1997 / 07,Queens,1951598,26.65,2.5,212.4,0,24.28,29.03,19.53,
1997 / 08,Queens,1951598,26.65,2.2,81.5,0,22.95,27.05,18.84,
1997 / 09,Queens,1951598,26.65,2.7,53.5,0,19.42,23.6,15.23,
1997 / 10,Queens,1951598,26.65,2.6,53.3,0,13.74,17.57,9.91,
1997 / 11,Queens,1951598,26.65,3.5,119.1,0,6.93,9.87,3.99,
1997 / 12,Queens,1951598,26.65,2.8,108.6,0,3.46,6.36,0.56,
1997 / 01,Staten Island,378977,5.18,4,92.8,112,0.08,4,-3.84,
1997 / 02,Staten Island,378977,5.18,3.7,64.8,96,4.44,8.44,0.45,
1997 / 03,Staten Island,378977,5.18,4,131.9,43,5.48,9.53,1.42,
1997 / 04,Staten Island,378977,5.18,3.6,72.9,0,10.93,15.62,6.24,
1997 / 05,Staten Island,378977,5.18,3.3,77.6,0,15.19,19.96,10.42,
1997 / 06,Staten Island,378977,5.18,2.7,49,0,21.6,26.17,17.04,
1997 / 07,Staten Island,378977,5.18,2.5,212.4,0,24.28,29.03,19.53,
1997 / 08,Staten Island,378977,5.18,2.2,81.5,0,22.95,27.05,18.84,
1997 / 09,Staten Island,378977,5.18,2.7,53.5,0,19.42,23.6,15.23,
1997 / 10,Staten Island,378977,5.18,2.6,53.3,0,13.74,17.57,9.91,
1997 / 11,Staten Island,378977,5.18,3.5,119.1,0,6.93,9.87,3.99,
1997 / 12,Staten Island,378977,5.18,2.8,108.6,0,3.46,6.36,0.56,
1998 / 01,Bronx,1203789,16.44,3.7,132.1,13,4.44,7.67,1.21,
1998 / 02,Bronx,1203789,16.44,3.9,147.6,0,4.79,7.9,1.69,
1998 / 03,Bronx,1203789,16.44,3.7,129.2,127,7.44,11.2,3.67,
1998 / 04,Bronx,1203789,16.44,3,179.2,0,12.2,16.85,7.55,
1998 / 05,Bronx,1203789,16.44,3,176.4,0,17.96,22.45,13.46,
1998 / 06,Bronx,1203789,16.44,2.8,150.9,0,20.64,24.32,16.96,
1998 / 07,Bronx,1203789,16.44,2.5,27.8,0,24.69,28.78,20.61,
1998 / 08,Bronx,1203789,16.44,2.5,70.7,0,24.8,29.09,20.52,
1998 / 09,Bronx,1203789,16.44,2.6,87.4,0,21.24,25.63,16.85,
1998 / 10,Bronx,1203789,16.44,2.8,70,0,14.18,17.7,10.66,
1998 / 11,Bronx,1203789,16.44,3,37.5,0,8.94,12.35,5.53,
1998 / 12,Bronx,1203789,16.44,3.2,28.6,51,6.19,9.39,3,
1998 / 01,Brooklyn,2300664,31.42,3.7,132.1,13,4.44,7.67,1.21,
1998 / 02,Brooklyn,2300664,31.42,3.9,147.6,0,4.79,7.9,1.69,
1998 / 03,Brooklyn,2300664,31.42,3.7,129.2,127,7.44,11.2,3.67,
1998 / 04,Brooklyn,2300664,31.42,3,179.2,0,12.2,16.85,7.55,
1998 / 05,Brooklyn,2300664,31.42,3,176.4,0,17.96,22.45,13.46,
1998 / 06,Brooklyn,2300664,31.42,2.8,150.9,0,20.64,24.32,16.96,
1998 / 07,Brooklyn,2300664,31.42,2.5,27.8,0,24.69,28.78,20.61,
1998 / 08,Brooklyn,2300664,31.42,2.5,70.7,0,24.8,29.09,20.52,
1998 / 09,Brooklyn,2300664,31.42,2.6,87.4,0,21.24,25.63,16.85,
1998 / 10,Brooklyn,2300664,31.42,2.8,70,0,14.18,17.7,10.66,
1998 / 11,Brooklyn,2300664,31.42,3,37.5,0,8.94,12.35,5.53,
1998 / 12,Brooklyn,2300664,31.42,3.2,28.6,51,6.19,9.39,3,
1998 / 01,Manhattan,1487536,20.31,3.7,132.1,13,4.44,7.67,1.21,
1998 / 02,Manhattan,1487536,20.31,3.9,147.6,0,4.79,7.9,1.69,
1998 / 03,Manhattan,1487536,20.31,3.7,129.2,127,7.44,11.2,3.67,
1998 / 04,Manhattan,1487536,20.31,3,179.2,0,12.2,16.85,7.55,
1998 / 05,Manhattan,1487536,20.31,3,176.4,0,17.96,22.45,13.46,
1998 / 06,Manhattan,1487536,20.31,2.8,150.9,0,20.64,24.32,16.96,
1998 / 07,Manhattan,1487536,20.31,2.5,27.8,0,24.69,28.78,20.61,
1998 / 08,Manhattan,1487536,20.31,2.5,70.7,0,24.8,29.09,20.52,
1998 / 09,Manhattan,1487536,20.31,2.6,87.4,0,21.24,25.63,16.85,
1998 / 10,Manhattan,1487536,20.31,2.8,70,0,14.18,17.7,10.66,
1998 / 11,Manhattan,1487536,20.31,3,37.5,0,8.94,12.35,5.53,
1998 / 12,Manhattan,1487536,20.31,3.2,28.6,51,6.19,9.39,3,
1998 / 01,Queens,1951598,26.65,3.7,132.1,13,4.44,7.67,1.21,
1998 / 02,Queens,1951598,26.65,3.9,147.6,0,4.79,7.9,1.69,
1998 / 03,Queens,1951598,26.65,3.7,129.2,127,7.44,11.2,3.67,
1998 / 04,Queens,1951598,26.65,3,179.2,0,12.2,16.85,7.55,
1998 / 05,Queens,1951598,26.65,3,176.4,0,17.96,22.45,13.46,
1998 / 06,Queens,1951598,26.65,2.8,150.9,0,20.64,24.32,16.96,
1998 / 07,Queens,1951598,26.65,2.5,27.8,0,24.69,28.78,20.61,
1998 / 08,Queens,1951598,26.65,2.5,70.7,0,24.8,29.09,20.52,
1998 / 09,Queens,1951598,26.65,2.6,87.4,0,21.24,25.63,16.85,
1998 / 10,Queens,1951598,26.65,2.8,70,0,14.18,17.7,10.66,
1998 / 11,Queens,1951598,26.65,3,37.5,0,8.94,12.35,5.53,
1998 / 12,Queens,1951598,26.65,3.2,28.6,51,6.19,9.39,3,
1998 / 01,Staten Island,378977,5.18,3.7,132.1,13,4.44,7.67,1.21,
1998 / 02,Staten Island,378977,5.18,3.9,147.6,0,4.79,7.9,1.69,
1998 / 03,Staten Island,378977,5.18,3.7,129.2,127,7.44,11.2,3.67,
1998 / 04,Staten Island,378977,5.18,3,179.2,0,12.2,16.85,7.55,
1998 / 05,Staten Island,378977,5.18,3,176.4,0,17.96,22.45,13.46,
1998 / 06,Staten Island,378977,5.18,2.8,150.9,0,20.64,24.32,16.96,
1998 / 07,Staten Island,378977,5.18,2.5,27.8,0,24.69,28.78,20.61,
1998 / 08,Staten Island,378977,5.18,2.5,70.7,0,24.8,29.09,20.52,
1998 / 09,Staten Island,378977,5.18,2.6,87.4,0,21.24,25.63,16.85,
1998 / 10,Staten Island,378977,5.18,2.8,70,0,14.18,17.7,10.66,
1998 / 11,Staten Island,378977,5.18,3,37.5,0,8.94,12.35,5.53,
1998 / 12,Staten Island,378977,5.18,3.2,28.6,51,6.19,9.39,3,
1999 / 01,Bronx,1203789,16.44,3.6,178.4,115,1.06,4.89,-2.78,
1999 / 02,Bronx,1203789,16.44,3.4,88.7,43,3.79,7.36,0.22,
1999 / 03,Bronx,1203789,16.44,4.2,102,115,5.84,10.35,1.33,
1999 / 04,Bronx,1203789,16.44,3.3,49.2,0,11.95,16.85,7.04,
1999 / 05,Bronx,1203789,16.44,2.7,102.6,0,17.24,21.71,12.78,
1999 / 06,Bronx,1203789,16.44,2.8,15,0,22.87,27.37,18.36,
1999 / 07,Bronx,1203789,16.44,2.5,11.2,0,27.42,32.28,22.56,
1999 / 08,Bronx,1203789,16.44,2.8,73.5,0,24.17,28.57,19.78,
1999 / 09,Bronx,1203789,16.44,2.9,223.7,0,20.57,24.31,16.83,
1999 / 10,Bronx,1203789,16.44,2.7,69.4,0,13.35,17.45,9.25,
1999 / 11,Bronx,1203789,16.44,3.3,59.2,0,10.42,14.01,6.84,
1999 / 12,Bronx,1203789,16.44,3.5,82.1,0,4.4,7.6,1.2,
1999 / 01,Brooklyn,2300664,31.42,3.6,178.4,115,1.06,4.89,-2.78,
1999 / 02,Brooklyn,2300664,31.42,3.4,88.7,43,3.79,7.36,0.22,
1999 / 03,Brooklyn,2300664,31.42,4.2,102,115,5.84,10.35,1.33,
1999 / 04,Brooklyn,2300664,31.42,3.3,49.2,0,11.95,16.85,7.04,
1999 / 05,Brooklyn,2300664,31.42,2.7,102.6,0,17.24,21.71,12.78,
1999 / 06,Brooklyn,2300664,31.42,2.8,15,0,22.87,27.37,18.36,
1999 / 07,Brooklyn,2300664,31.42,2.5,11.2,0,27.42,32.28,22.56,
1999 / 08,Brooklyn,2300664,31.42,2.8,73.5,0,24.17,28.57,19.78,
1999 / 09,Brooklyn,2300664,31.42,2.9,223.7,0,20.57,24.31,16.83,
1999 / 10,Brooklyn,2300664,31.42,2.7,69.4,0,13.35,17.45,9.25,
1999 / 11,Brooklyn,2300664,31.42,3.3,59.2,0,10.42,14.01,6.84,
1999 / 12,Brooklyn,2300664,31.42,3.5,82.1,0,4.4,7.6,1.2,
1999 / 01,Manhattan,1487536,20.31,3.6,178.4,115,1.06,4.89,-2.78,
1999 / 02,Manhattan,1487536,20.31,3.4,88.7,43,3.79,7.36,0.22,
1999 / 03,Manhattan,1487536,20.31,4.2,102,115,5.84,10.35,1.33,
1999 / 04,Manhattan,1487536,20.31,3.3,49.2,0,11.95,16.85,7.04,
1999 / 05,Manhattan,1487536,20.31,2.7,102.6,0,17.24,21.71,12.78,
1999 / 06,Manhattan,1487536,20.31,2.8,15,0,22.87,27.37,18.36,
1999 / 07,Manhattan,1487536,20.31,2.5,11.2,0,27.42,32.28,22.56,
1999 / 08,Manhattan,1487536,20.31,2.8,73.5,0,24.17,28.57,19.78,
1999 / 09,Manhattan,1487536,20.31,2.9,223.7,0,20.57,24.31,16.83,
1999 / 10,Manhattan,1487536,20.31,2.7,69.4,0,13.35,17.45,9.25,
1999 / 11,Manhattan,1487536,20.31,3.3,59.2,0,10.42,14.01,6.84,
1999 / 12,Manhattan,1487536,20.31,3.5,82.1,0,4.4,7.6,1.2,
1999 / 01,Queens,1951598,26.65,3.6,178.4,115,1.06,4.89,-2.78,
1999 / 02,Queens,1951598,26.65,3.4,88.7,43,3.79,7.36,0.22,
1999 / 03,Queens,1951598,26.65,4.2,102,115,5.84,10.35,1.33,
1999 / 04,Queens,1951598,26.65,3.3,49.2,0,11.95,16.85,7.04,
1999 / 05,Queens,1951598,26.65,2.7,102.6,0,17.24,21.71,12.78,
1999 / 06,Queens,1951598,26.65,2.8,15,0,22.87,27.37,18.36,
1999 / 07,Queens,1951598,26.65,2.5,11.2,0,27.42,32.28,22.56,
1999 / 08,Queens,1951598,26.65,2.8,73.5,0,24.17,28.57,19.78,
1999 / 09,Queens,1951598,26.65,2.9,223.7,0,20.57,24.31,16.83,
1999 / 10,Queens,1951598,26.65,2.7,69.4,0,13.35,17.45,9.25,
1999 / 11,Queens,1951598,26.65,3.3,59.2,0,10.42,14.01,6.84,
1999 / 12,Queens,1951598,26.65,3.5,82.1,0,4.4,7.6,1.2,
1999 / 01,Staten Island,378977,5.18,3.6,178.4,115,1.06,4.89,-2.78,
1999 / 02,Staten Island,378977,5.18,3.4,88.7,43,3.79,7.36,0.22,
1999 / 03,Staten Island,378977,5.18,4.2,102,115,5.84,10.35,1.33,
1999 / 04,Staten Island,378977,5.18,3.3,49.2,0,11.95,16.85,7.04,
1999 / 05,Staten Island,378977,5.18,2.7,102.6,0,17.24,21.71,12.78,
1999 / 06,Staten Island,378977,5.18,2.8,15,0,22.87,27.37,18.36,
1999 / 07,Staten Island,378977,5.18,2.5,11.2,0,27.42,32.28,22.56,
1999 / 08,Staten Island,378977,5.18,2.8,73.5,0,24.17,28.57,19.78,
1999 / 09,Staten Island,378977,5.18,2.9,223.7,0,20.57,24.31,16.83,
1999 / 10,Staten Island,378977,5.18,2.7,69.4,0,13.35,17.45,9.25,
1999 / 11,Staten Island,378977,5.18,3.3,59.2,0,10.42,14.01,6.84,
1999 / 12,Staten Island,378977,5.18,3.5,82.1,0,4.4,7.6,1.2,
2000 / 01,Bronx,1332650,16.64,4.1,81.9,242,-0.4,3.25,-4.06,
2000 / 02,Bronx,1332650,16.64,3.7,42.1,132,2.93,6.5,-0.63,
2000 / 03,Bronx,1332650,16.64,3.8,84.9,10,8.44,12.78,4.11,
2000 / 03,Bronx,2229379,27.84,3.8,84.9,10,8.44,12.78,4.11,
2000 / 04,Bronx,2229379,27.84,3.7,89.7,30,10.55,14.53,6.57,
2000 / 05,Bronx,2229379,27.84,2.8,114.4,0,17.51,22.03,13,
2000 / 06,Bronx,1332650,16.64,2.7,123.8,0,21.83,26,17.65,
2000 / 07,Bronx,1332650,16.64,,185,0,22.39,26.1,18.68,
2000 / 08,Bronx,1332650,16.64,2.5,97,0,22.46,25.87,19.05,
2000 / 08,Bronx,2229379,27.84,2.5,97,0,22.46,25.87,19.05,
2000 / 09,Bronx,2229379,27.84,2.6,147.8,0,18.87,22.74,14.99,
2000 / 10,Bronx,2229379,27.84,2.6,17.1,0,13.86,18.01,9.72,
2000 / 11,Bronx,1332650,16.64,3.1,89.9,0,7.37,10.5,4.23,
2000 / 12,Bronx,1332650,16.64,3.6,81.3,341,-0.5,2.91,-3.91,
2000 / 01,Brooklyn,2465326,30.78,4.1,81.9,242,-0.4,3.25,-4.06,
2000 / 02,Brooklyn,2465326,30.78,3.7,42.1,132,2.93,6.5,-0.63,
2000 / 03,Brooklyn,2465326,30.78,3.8,84.9,10,8.44,12.78,4.11,
2000 / 03,Brooklyn,443728,5.54,3.8,84.9,10,8.44,12.78,4.11,
2000 / 04,Brooklyn,443728,5.54,3.7,89.7,30,10.55,14.53,6.57,
2000 / 05,Brooklyn,443728,5.54,2.8,114.4,0,17.51,22.03,13,
2000 / 06,Brooklyn,2465326,30.78,2.7,123.8,0,21.83,26,17.65,
2000 / 07,Brooklyn,2465326,30.78,,185,0,22.39,26.1,18.68,
2000 / 08,Brooklyn,2465326,30.78,2.5,97,0,22.46,25.87,19.05,
2000 / 08,Brooklyn,443728,5.54,2.5,97,0,22.46,25.87,19.05,
2000 / 09,Brooklyn,443728,5.54,2.6,147.8,0,18.87,22.74,14.99,
2000 / 10,Brooklyn,443728,5.54,2.6,17.1,0,13.86,18.01,9.72,
2000 / 11,Brooklyn,2465326,30.78,3.1,89.9,0,7.37,10.5,4.23,
2000 / 12,Brooklyn,2465326,30.78,3.6,81.3,341,-0.5,2.91,-3.91,
2000 / 01,Manhattan,1537195,19.2,4.1,81.9,242,-0.4,3.25,-4.06,
2000 / 02,Manhattan,1537195,19.2,3.7,42.1,132,2.93,6.5,-0.63,
2000 / 04,Manhattan,8008278,100,3.7,89.7,30,10.55,14.53,6.57,
2000 / 05,Manhattan,8008278,100,2.8,114.4,0,17.51,22.03,13,
2000 / 06,Manhattan,1537195,19.2,2.7,123.8,0,21.83,26,17.65,
2000 / 07,Manhattan,1537195,19.2,,185,0,22.39,26.1,18.68,
2000 / 09,Manhattan,8008278,100,2.6,147.8,0,18.87,22.74,14.99,
2000 / 10,Manhattan,8008278,100,2.6,17.1,0,13.86,18.01,9.72,
2000 / 11,Manhattan,1537195,19.2,3.1,89.9,0,7.37,10.5,4.23,
2000 / 12,Manhattan,1537195,19.2,3.6,81.3,341,-0.5,2.91,-3.91,
2000 / 01,Queens,2229379,27.84,4.1,81.9,242,-0.4,3.25,-4.06,
2000 / 02,Queens,2229379,27.84,3.7,42.1,132,2.93,6.5,-0.63,
2000 / 04,Queens,1332650,16.64,3.7,89.7,30,10.55,14.53,6.57,
2000 / 05,Queens,1332650,16.64,2.8,114.4,0,17.51,22.03,13,
2000 / 06,Queens,2229379,27.84,2.7,123.8,0,21.83,26,17.65,
2000 / 07,Queens,2229379,27.84,,185,0,22.39,26.1,18.68,
